Original_SampleID,SampleID,Run,Sex,Genotype,BrainRegion,LibraryPrepBatch
SBatch2_99_27acc_78_S96,S27_NAcc_2,2,female,WSB,NAcc,2_rerun
S103_27cea_127_S127,S27_CeA,1,female,WSB,CeA,3
SBatch3_103_27cea_127_S3,S27_CeA_2,2,female,WSB,CeA,3_rerun
S108_27prl_32_S32,S27_PrL,1,female,WSB,PrL,1
S48_28acc_59_S59,S28_NAcc,1,female,CAST,NAcc,2
SBatch2_48_28acc_59_S61,S28_NAcc_2,2,female,CAST,NAcc,2_rerun
S59_28cea_111_S111,S28_CeA,1,female,CAST,CeA,3
SBatch3_59_28cea_111_S69,S28_CeA_2,2,female,CAST,CeA,3_rerun
S50_28prl_15_S15,S28_PrL,1,female,CAST,PrL,1
S52_29acc_60_S60,S29_NAcc,1,female,AJ,NAcc,2
SBatch2_52_29acc_60_S62,S29_NAcc_2,2,female,AJ,NAcc,2_rerun
S44_29cea_106_S106,S29_CeA,1,female,AJ,CeA,3
SBatch3_44_29cea_106_S58,S29_CeA_2,2,female,AJ,CeA,3_rerun
S37_29prl_9_S9,S29_PrL,1,female,AJ,PrL,1
S31_2acc_54_S54,S2_NAcc,1,male,NZO,NAcc,2
SBatch2_31_2acc_54_S52,S2_NAcc_2,2,male,NZO,NAcc,2_rerun
S22_2cea_102_S102,S2_CeA,1,male,NZO,CeA,3
SBatch3_22_2cea_102_S45,S2_CeA_2,2,male,NZO,CeA,3_rerun
S20_2prl_3_S3,S2_PrL,1,male,NZO,PrL,1
S54_30acc_61_S61,S30_NAcc,1,female,S129,NAcc,2
SBatch2_54_30acc_61_S64,S30_NAcc_2,2,female,S129,NAcc,2_rerun
S41_30cea_105_S105,S30_CeA,1,female,S129,CeA,3
SBatch3_41_30cea_105_S55,S30_CeA_2,2,female,S129,CeA,3_rerun
S46_30prl_13_S13,S30_PrL,1,female,S129,PrL,1
S90_31acc_75_S75,S31_NAcc,1,female,NOD,NAcc,2
SBatch2_90_31acc_75_S90,S31_NAcc_2,2,female,NOD,NAcc,2_rerun
S105_31cea_128_S128,S31_CeA,1,female,NOD,CeA,3
SBatch3_105_31cea_128_S5,S31_CeA_2,2,female,NOD,CeA,3_rerun
S101_31prl_30_S30,S31_PrL,1,female,NOD,PrL,1
S107_32acc_80_S80,S32_NAcc,1,female,PWK,NAcc,2
SBatch2_107_32acc_80_S6,S32_NAcc_2,2,female,PWK,NAcc,2_rerun
S98_32cea_124_S124,S32_CeA,1,female,PWK,CeA,3
SBatch3_98_32cea_124_S95,S32_CeA_2,2,female,PWK,CeA,3_rerun
S88_32prl_26_S26,S32_PrL,1,female,PWK,PrL,1
S60_33acc_112_S112,S33_NAcc,1,male,B6,NAcc,3
SBatch3_60_33acc_112_S70,S33_NAcc_2,2,male,B6,NAcc,3_rerun
S39_33cea_11_S11,S33_CeA,1,male,B6,CeA,1
S56_33prl_62_S62,S33_PrL,1,male,B6,PrL,2
SBatch2_56_33prl_62_S66,S33_PrL_2,2,male,B6,PrL,2_rerun
S102_34acc_126_S126,S34_NAcc,1,male,NZO,NAcc,3
SBatch3_102_34acc_126_S2,S34_NAcc_2,2,male,NZO,NAcc,3_rerun
S92_34cea_27_S27,S34_CeA,1,male,NZO,CeA,1
S86_34prl_73_S73,S34_PrL,1,male,NZO,PrL,2
SBatch2_86_34prl_73_S87,S34_PrL_2,2,male,NZO,PrL,2_rerun
S43_35acc_58_S58,S35_NAcc,1,male,WSB,NAcc,2
